FIPS	Admin2	Province/State	Country/Region	Last_Update	Lat	Long	Confirmed	Deaths	Recovered	Active	Combined_Key
45001	Abbeville	South Carolina	US	15-06-2020 03:33	34.22333378	-82.46170658	67	0	0	67	Abbeville, South Carolina, US
22001	Acadia	Louisiana	US	15-06-2020 03:33	30.2950649	-92.41419698	583	31	0	552	Acadia, Louisiana, US
51001	Accomack	Virginia	US	15-06-2020 03:33	37.76707161	-75.63234615	993	14	0	979	Accomack, Virginia, US
16001	Ada	Idaho	US	15-06-2020 03:33	43.4526575	-116.2415516	892	22	0	870	Ada, Idaho, US
19001	Adair	Iowa	US	15-06-2020 03:33	41.33075609	-94.47105874	11	0	0	11	Adair, Iowa, US
21001	Adair	Kentucky	US	15-06-2020 03:33	37.10459774	-85.28129668	101	19	0	82	Adair, Kentucky, US
29001	Adair	Missouri	US	15-06-2020 03:33	40.19058551	-92.60078167	80	0	0	80	Adair, Missouri, US
40001	Adair	Oklahoma	US	15-06-2020 03:33	35.88494195	-94.65859267	96	4	0	92	Adair, Oklahoma, US
8001	Adams	Colorado	US	15-06-2020 03:33	39.87432092	-104.3362578	3743	144	0	3599	Adams, Colorado, US
16003	Adams	Idaho	US	15-06-2020 03:33	44.89333571	-116.4545247	4	0	0	4	Adams, Idaho, US
17001	Adams	Illinois	US	15-06-2020 03:33	39.98815591	-91.18786813	45	1	0	44	Adams, Illinois, US
18001	Adams	Indiana	US	15-06-2020 03:33	40.7457653	-84.93671406	26	1	0	25	Adams, Indiana, US
19003	Adams	Iowa	US	15-06-2020 03:33	41.02903567	-94.69932645	7	0	0	7	Adams, Iowa, US
28001	Adams	Mississippi	US	15-06-2020 03:33	31.47669768	-91.35326037	225	17	0	208	Adams, Mississippi, US
31001	Adams	Nebraska	US	15-06-2020 03:33	40.5244942	-98.50117804	278	11	0	267	Adams, Nebraska, US
39001	Adams	Ohio	US	15-06-2020 03:33	38.84541072	-83.4718964	15	1	0	14	Adams, Ohio, US
42001	Adams	Pennsylvania	US	15-06-2020 03:33	39.87140411	-77.21610347	290	9	0	281	Adams, Pennsylvania, US
53001	Adams	Washington	US	15-06-2020 03:33	46.98299757	-118.5601734	91	0	0	91	Adams, Washington, US
55001	Adams	Wisconsin	US	15-06-2020 03:33	43.96974651	-89.76782777	8	1	0	7	Adams, Wisconsin, US
50001	Addison	Vermont	US	15-06-2020 03:33	44.03217337	-73.14130877	66	2	0	64	Addison, Vermont, US
45003	Aiken	South Carolina	US	15-06-2020 03:33	33.54338026	-81.63645384	232	9	0	223	Aiken, South Carolina, US
27001	Aitkin	Minnesota	US	15-06-2020 03:33	46.60962049	-93.4116826	13	0	0	13	Aitkin, Minnesota, US
12001	Alachua	Florida	US	15-06-2020 03:33	29.67866525	-82.35928158	541	10	0	531	Alachua, Florida, US
37001	Alamance	North Carolina	US	15-06-2020 03:33	36.0434701	-79.39976137	742	33	0	709	Alamance, North Carolina, US
6001	Alameda	California	US	15-06-2020 03:33	37.64629437	-121.8929271	4320	112	0	4208	Alameda, California, US
8003	Alamosa	Colorado	US	15-06-2020 03:33	37.57250606	-105.7885451	118	2	0	116	Alamosa, Colorado, US
36001	Albany	New York	US	15-06-2020 03:33	42.60060306	-73.97723916	2020	118	0	1902	Albany, New York, US
56001	Albany	Wyoming	US	15-06-2020 03:33	41.65498705	-105.7235415	26	0	0	26	Albany, Wyoming, US
51003	Albemarle	Virginia	US	15-06-2020 03:33	38.02080697	-78.55481085	286	8	0	278	Albemarle, Virginia, US
26001	Alcona	Michigan	US	15-06-2020 03:33	44.6846864	-83.59507875	21	1	0	20	Alcona, Michigan, US
28003	Alcorn	Mississippi	US	15-06-2020 03:33	34.88084463	-88.57996173	30	1	0	29	Alcorn, Mississippi, US
17003	Alexander	Illinois	US	15-06-2020 03:33	37.18049267	-89.32910838	17	0	0	17	Alexander, Illinois, US
37003	Alexander	North Carolina	US	15-06-2020 03:33	35.9223796	-81.17751948	49	0	0	49	Alexander, North Carolina, US
51510	Alexandria	Virginia	US	15-06-2020 03:33	38.814003	-77.08183073	2151	48	0	2103	Alexandria, Virginia, US
40003	Alfalfa	Oklahoma	US	15-06-2020 03:33	36.73090616	-98.32408495	1	0	0	1	Alfalfa, Oklahoma, US
26003	Alger	Michigan	US	15-06-2020 03:33	46.41292944	-86.60260122	1	0	0	1	Alger, Michigan, US
19005	Allamakee	Iowa	US	15-06-2020 03:33	43.28383218	-91.37860922	121	4	0	117	Allamakee, Iowa, US
26005	Allegan	Michigan	US	15-06-2020 03:33	42.59147037	-85.89102866	286	6	0	280	Allegan, Michigan, US
24001	Allegany	Maryland	US	15-06-2020 03:33	39.62357628	-78.69280486	187	17	0	170	Allegany, Maryland, US
36003	Allegany	New York	US	15-06-2020 03:33	42.25748406	-78.02750466	54	0	0	54	Allegany, New York, US
37005	Alleghany	North Carolina	US	15-06-2020 03:33	36.49360862	-81.12857041	30	0	0	30	Alleghany, North Carolina, US
51005	Alleghany	Virginia	US	15-06-2020 03:33	37.78636074	-80.00222498	28	2	0	26	Alleghany, Virginia, US
42003	Allegheny	Pennsylvania	US	15-06-2020 03:33	40.46809875	-79.98167747	2079	172	0	1907	Allegheny, Pennsylvania, US
18003	Allen	Indiana	US	15-06-2020 03:33	41.09194313	-85.06800636	2195	80	0	2115	Allen, Indiana, US
20001	Allen	Kansas	US	15-06-2020 03:33	37.88582951	-95.30030847	2	0	0	2	Allen, Kansas, US
21003	Allen	Kentucky	US	15-06-2020 03:33	36.75197631	-86.19457544	132	3	0	129	Allen, Kentucky, US
22003	Allen	Louisiana	US	15-06-2020 03:33	30.65385745	-92.82442028	222	10	0	212	Allen, Louisiana, US
39003	Allen	Ohio	US	15-06-2020 03:33	40.77285242	-84.10802343	240	35	0	205	Allen, Ohio, US
45005	Allendale	South Carolina	US	15-06-2020 03:33	32.98837386	-81.35321066	40	3	0	37	Allendale, South Carolina, US
26007	Alpena	Michigan	US	15-06-2020 03:33	45.03477666	-83.62212411	114	11	0	103	Alpena, Michigan, US
6003	Alpine	California	US	15-06-2020 03:33	38.59678594	-119.8223594	2	0	0	2	Alpine, California, US
6005	Amador	California	US	15-06-2020 03:33	38.44583082	-120.65696	10	0	0	10	Amador, California, US
